,ST,2019,2020
0,WY,0.73,0.9107130434782609
1,WI,0.7879166666666672,0.8336166666666666
2,WV,0.7314545454545456,0.7373018181818182
3,WA,0.892051282051282,0.9017230769230767
4,VA,0.81608,0.8608349206349204
5,VT,0.8164285714285713,0.9048642857142857
6,UT,0.8328571428571426,0.8674793103448276
7,TX,0.7021370967741932,0.8353173913043472
8,TN,0.7986315789473684,0.8712221052631582
9,SD,0.8495384615384616,0.9225727272727274
10,SC,0.7734782608695653,0.8027282608695652
11,RI,0.984,0.9835
12,PA,0.8655223880597013,0.8888656716417909
13,OR,0.8011428571428569,0.8521057142857141
14,OK,0.6159210526315791,0.7517051948051944
15,OH,0.846590909090909,0.9138193181818184
16,ND,0.9003773584905658,0.9579169811320755
17,NC,0.8613999999999997,0.876017
18,NY,0.9095161290322582,0.9634209677419355
19,NM,0.6349999999999998,0.7015484848484849
20,NJ,0.9885714285714284,0.9850523809523808
21,NH,0.9019999999999999,0.94478
22,NV,0.6241176470588236,0.6440117647058825
23,NE,0.6340860215053765,0.8479155555555556
24,MT,0.6799999999999998,0.724925
25,MO,0.6618260869565216,0.7894373913043476
26,MS,0.6459756097560974,0.6447536585365855
27,MN,0.8944827586206894,0.9472540229885056
28,MI,0.751219512195122,0.8517674698795183
29,MA,0.9557142857142857,0.9578
30,MD,0.9649999999999999,0.9546041666666666
31,ME,0.8712500000000001,0.9400999999999999
32,LA,0.6800000000000002,0.6841249999999999
33,KY,0.8125833333333333,0.876473333333333
34,KS,0.7646153846153846,0.8640123809523806
35,IA,0.8366666666666666,0.9365828282828285
36,IN,0.7742391304347822,0.9073913043478261
37,IL,0.7280392156862743,0.8969049019607847
38,ID,0.6773809523809523,0.8547568181818183
39,HI,0.752,0.80744
40,GA,0.7627215189873414,0.7872157232704403
41,FL,0.8229850746268659,0.8397223880597013
42,DC,0.98,0.9796
43,DE,0.9700000000000001,0.9761000000000001
44,CT,0.9887500000000001,0.9905625
45,CO,0.7504687499999999,0.8512578125000002
46,CA,0.8099999999999999,0.922294827586207
47,AR,0.5681333333333332,0.6169093333333333
48,AZ,0.6673333333333332,0.7492533333333334
49,AK,0.78875,0.6560666666666667
50,AL,0.6721212121212121,0.7036417910447762
